ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_3,Q119545,Anna Aaron,Anna Aaron,identisch,1985-01-29,-,nein,Mensch
1931_4,Q4797775,Arthur Aaron,Arthur Aaron,identisch,-,-,unbekannt,Mensch
1931_5,Q7424848,Max Aaron,Max Aaron,identisch,1992-02-25,-,nein,Mensch
1931_8,Q5679524,Hassan Abbas,Hassan Abbas,identisch,1974-01-24,-,nein,Mensch
1931_8,Q1588554,Hassan Abbas,Hassan Abbasi,unklar,-,-,unbekannt,Mensch
1931_16,Q1730189,Karl Abel,Karl Abel,identisch,1897-02-10,1971-04-27,plausibel,Mensch
1931_21,Q1375019,Otto Abeles,Otto Abeles,identisch,1879-05-01,1945-05-25,plausibel,Mensch
1931_27,Q318772, Abelt,Abeltshauser,unklar,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_32,Q1586053,Salomon Abend,Salomon Abendana Belmonte,unklar,1843-03-13,1888-03-19,nein,Mensch
1931_36,Q61275,Hermann Aber,Hermann Abert,unklar,1871-03-25,1927-08-13,nein,Mensch
1931_38,Q7964135,Walter Aber,Walter Abercrombie,unklar,1959-09-26,-,nein,Mensch
1931_49,Q61043,Adolf Abraham,Adolf Abraham Halevi Fraenkel,unklar,1891-02-17,1965-10-15,plausibel,Mensch
1931_50,Q61043,Adolf Abraham,Adolf Abraham Halevi Fraenkel,unklar,1891-02-17,1965-10-15,plausibel,Mensch
1931_51,Q61043,Adolf Abraham,Adolf Abraham Halevi Fraenkel,unklar,1891-02-17,1965-10-15,plausibel,Mensch
1931_52,Q61043,Adolf Abraham,Adolf Abraham Halevi Fraenkel,unklar,1891-02-17,1965-10-15,plausibel,Mensch
1931_57,Q2644617,Alfred Abraham,Alfred Abraham Gerngroß,unklar,-,-,unbekannt,Mensch
1931_58,Q2644617,Alfred Abraham,Alfred Abraham Gerngroß,unklar,-,-,unbekannt,Mensch
1931_59,Q2644617,Alfred Abraham,Alfred Abraham Gerngroß,unklar,-,-,unbekannt,Mensch
1931_60,Q2644617,Alfred Abraham,Alfred Abraham Gerngroß,unklar,-,-,unbekannt,Mensch
1931_61,Q2644617,Alfred Abraham,Alfred Abraham Gerngroß,unklar,-,-,unbekannt,Mensch
1931_65,Q77028,Arthur Abraham,Arthur Abraham,identisch,1980-02-20,-,nein,Mensch
1931_65,Q4055048,Arthur Abraham,Arthur Abrahams,unklar,1955-11-06,-,nein,Mensch
